"CBSA","DIV","CSA","Type","Population","CBSA Name","Div Name","CSA Name"
"10100",,,"Micro","42,608","Aberdeen, SD",,
"10140",,,"Micro","71,454","Aberdeen, WA",,
"10180",,,"Metro","169,000","Abilene, TX",,
"10220",,,"Micro","38,289","Ada, OK",,
"10300",,"220","Micro","98,585","Adrian, MI",,"Detroit-Warren-Ann Arbor, MI"
"10380",,,"Metro","315,100","Aguadilla-Isabela, PR",,
"10420",,"184","Metro","703,398","Akron, OH",,"Cleveland-Akron-Canton, OH"
"10460",,,"Micro","65,130","Alamogordo, NM",,
"10500",,,"Metro","153,776","Albany, GA",,
"10540",,"440","Metro","121,074","Albany-Lebanon, OR",,"Portland-Vancouver-Salem, OR-WA"
"10580",,"104","Metro","881,862","Albany-Schenectady-Troy, NY",,"Albany-Schenectady, NY"
"10620",,"172","Micro","60,875","Albemarle, NC",,"Charlotte-Concord, NC-SC"
"10660",,,"Micro","30,619","Albert Lea, MN",,
"10700",,,"Micro","94,738","Albertville, AL",,
"10740",,"106","Metro","905,049","Albuquerque, NM",,"Albuquerque-Santa Fe-Las Vegas, NM"
"10760",,"388","Micro","40,756","Alexander City, AL",,"Montgomery-Selma-Alexander City, AL"
"10780",,,"Metro","154,385","Alexandria, LA",,
"10820",,,"Micro","36,891","Alexandria, MN",,
"10860",,"204","Micro","41,318","Alice, TX",,"Corpus Christi-Kingsville-Alice, TX"
"10900",,,"Metro","832,790","Allentown-Bethlehem-Easton, PA-NJ",,
"10940",,"394","Micro","41,319","Alma, MI",,"Mount Pleasant-Alma, MI"
"10980",,,"Micro","28,730","Alpena, MI",,
"11020",,"107","Metro","124,736","Altoona, PA",,"Altoona-Huntingdon, PA"
"11060",,,"Micro","25,574","Altus, OK",,
"11100",,"108","Metro","261,827","Amarillo, TX",,"Amarillo-Pampa-Borger, TX"
"11140",,,"Micro","35,855","Americus, GA",,
"11180",,"218","Metro","95,888","Ames, IA",,"Des Moines-Ames-West Des Moines, IA"
"11220",,"104","Micro","49,500","Amsterdam, NY",,"Albany-Schenectady, NY"
"11260",,,"Metro","399,360","Anchorage, AK",,
"11380",,,"Micro","17,577","Andrews, TX",,
"11420",,"258","Micro","34,459","Angola, IN",,"Fort Wayne-Huntington-Auburn, IN"
"11460",,"220","Metro","361,509","Ann Arbor, MI",,"Detroit-Warren-Ann Arbor, MI"
"11500",,,"Metro","115,527","Anniston-Oxford, AL",,
"11540",,"118","Metro","233,025","Appleton, WI",,"Appleton-Oshkosh-Neenah, WI"
"11580",,"412","Micro","35,675","Arcadia, FL",,"North Port-Sarasota, FL"
"11620",,,"Micro","48,407","Ardmore, OK",,
"11640",,"490","Metro","188,012","Arecibo, PR",,"San Juan-Bayamón, PR"
"11660",,,"Micro","22,495","Arkadelphia, AR",,
"11700",,"120","Metro","445,625","Asheville, NC",,"Asheville-Marion-Brevard, NC"
"11740",,"360","Micro","53,299","Ashland, OH",,"Mansfield-Ashland-Bucyrus, OH"
"11780",,"184","Micro","98,622","Ashtabula, OH",,"Cleveland-Akron-Canton, OH"
"11820",,,"Micro","38,021","Astoria, OR",,
"11860",,"312","Micro","16,466","Atchison, KS",,"Kansas City-Overland Park-Kansas City, MO-KS"
"11900",,,"Micro","65,563","Athens, OH",,
"11940",,"174","Micro","52,569","Athens, TN",,"Chattanooga-Cleveland-Dalton, TN-GA"
"11980",,"206","Micro","79,687","Athens, TX",,"Dallas-Fort Worth, TX-OK"
"12020",,"122","Metro","202,780","Athens-Clarke County, GA",,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
"12060",,"122","Metro","5,700,990","Atlanta-Sandy Springs-Alpharetta, GA",,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
"12100",,"428","Metro","272,926","Atlantic City-Hammonton, NJ",,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
"12120",,"426","Micro","37,621","Atmore, AL",,"Pensacola-Ferry Pass, FL-AL"
"12140",,"258","Micro","42,524","Auburn, IN",,"Fort Wayne-Huntington-Auburn, IN"
"12180",,"532","Micro","78,319","Auburn, NY",,"Syracuse-Auburn, NY"
"12220",,"194","Metro","156,597","Auburn-Opelika, AL",,"Columbus-Auburn-Opelika, GA-AL"
"12260",,,"Metro","589,519","Augusta-Richmond County, GA-SC",,
"12300",,,"Micro","121,289","Augusta-Waterville, ME",,
"12380",,"462","Micro","39,386","Austin, MN",,"Rochester-Austin, MN"
"12420",,,"Metro","2,000,590","Austin-Round Rock-Georgetown, TX",,
"12460",,,"Micro","27,023","Bainbridge, GA",,
